acc,loss,val_acc,val_loss
0.4455,1.0839,0.4062,1.036
0.4411,1.0455,0.4062,1.0343
0.4522,1.0426,0.5,1.0011
0.3836,1.0624,0.4375,1.0119
0.4181,1.0221,0.4375,0.9835
0.405,1.0264,0.5,0.9829
0.4706,1.037,0.4688,1.0326
0.4392,1.0231,0.4688,1.0125
0.4279,1.0284,0.4375,0.9962
0.4497,1.0098,0.4688,0.9951
0.4476,0.9984,0.5312,1.0001
0.4202,1.0077,0.5312,1.0015
0.4873,0.9863,0.5,1.0097
0.3938,1.0202,0.5,1.009
0.484,0.964,0.4688,1.0203
0.4599,0.9672,0.4688,1.008
0.4476,0.9669,0.5312,1.0239
0.4769,0.9854,0.4688,1.0392
0.53,0.9772,0.5,1.0027
0.5458,0.9624,0.5,1.0364
0.5129,0.9446,0.5,1.0143
0.4292,0.9624,0.5312,0.9964
0.5081,0.9477,0.4375,1.0143
0.4864,0.9395,0.5,1.0127
0.5198,0.9529,0.4688,1.049
0.5014,0.9752,0.5,1.0074
0.4986,0.9396,0.4688,0.9914
0.4548,0.9641,0.5,1.0234
0.5228,0.9615,0.5312,1.0418
0.468,0.981,0.4688,1.0615
0.4619,0.9476,0.4375,1.0618
0.4493,0.9527,0.5,1.081
0.445,0.9794,0.4688,1.0665
0.4527,0.9874,0.5,1.0118
0.4909,0.938,0.5,0.9766
0.514,0.9284,0.4688,1.0505
0.4946,0.9492,0.4688,1.0391
0.4509,0.9825,0.5,1.0718
0.524,0.9064,0.5625,1.0595
0.5043,0.9551,0.5,1.053
